Original,Perturbed,Is_Equivalent
-402.3 -959.21 563.65 704.48 -118.95 839.66 -246.12 / - ^ 1 + ^ 1 - - + ^ 1,-246.12 / 839.66 ^ 1 - -118.95 ^ 1 + 704.48 - 563.65 - -959.21 ^ 1 + -402.3,True
857.78 731.36 797.04 -64.91 -643.49 537.68 -322.25 -327.22 * + * - - ^ 1 / - ^ 1,-327.22 * -322.25 + 537.68 * -643.49 - -64.91 ^ 1 - 797.04 / 731.36 - 857.78 ^ 1,True
-696.77 442.72 290.42 -419.38 -180.19 361.83 -662.29 657.39 -14.75 + - - - / 2 - * * /,-14.75 + 657.39 - -662.29 - 361.83 ^ 2 - -180.19 - -419.38 * 290.42 * 442.72 / -696.77,False
-822.3 58.5 680.87 -730.3 -158.99 230.9 625.69 -140.57 - + / - + - - + ^ 1 -166.69,-140.57 - 625.69 + 230.9 / -158.99 - -730.3 + 680.87 - 58.5 - -822.3 ^ 1 + ( -166.69 ),True
211.85 77.21 273.13 396.23 -518.87 122.29 + ^ 1 * / + / - ^ 2 922.33 733.87 *,122.29 ^ 1 + -518.87 * 396.23 - 273.13 + 77.21 / 211.85 ^ 2 - ( 733.87 * 922.33 ),False
949.54 -72.41 17.21 821.82 807.73 7.66 -610.67 + + ^ 2 - - ^ 1 + - * 129.68,-610.67 + 7.66 ^ 2 + 807.73 - 821.82 ^ 1 - 17.21 + -72.41 - 949.54 * ( 129.68 ),True
-431.88 -902.43 / / -789.63 -351.37 -58.2 ^ -518.31 -53.76 905.47 - * - - + ^ 2 +,-902.43 / -431.88 / ( 905.47 - -53.76 * -518.31 - -757.67 - -58.2 ^ 2 + -351.37 + -789.63 ),False
156.39 239.88 -533.54 -404.77 640.79 -59.8 -448.19 277.13 + - - + - ^ 1 - / / -696.47,277.13 + -448.19 - -59.8 - 640.79 + -404.77 ^ 1 - -533.54 - 239.88 / 156.39 / ( -696.47 ),True
-610.17 -831.6 -60.36 -624.88 -12.23 -393.43 419.43 -935.35 - + + ^ 2 + / + + ^ 2,-935.35 - 419.43 + -393.43 ^ 2 + -12.23 * -624.88 / -60.36 + -831.6 ^ 2 + -610.17,False
-886.67 431.99 367.27 304.54 574.92 341.5 + -76.96 196.29 915.9 - / ^ 1 / * - / -,( 915.9 - 196.29 ^ 1 - -76.96 ) + 341.5 / 574.92 * 304.54 - 367.27 / 431.99 - -886.67,False
925.99 -832.51 524.32 + + - 920.96 -73.09 -598.3 + / -237.94 15.48 / + - ^ 1 661.71,524.32 + -832.51 + 925.99 - ( -598.3 / ( 15.48 / -237.94 ) + -73.09 + 920.96 ^ 1 - ( 661.71 ) ),True
812.77 -709.95 356.84 -54.9 571.19 759.65 745.6 -539.8 / * * / + - - ^ 1 ^ 1,-539.8 / 745.6 * 759.65 * 571.19 / -54.9 + 356.84 - -709.95 ^ 1 - 812.77 ^ 1,True
993.42 -622.68 -16.42 -929.83 - - + -266.02 -468.88 -271.2 * + ^ 1 * - ^ 1 394.03,-929.83 - -16.42 + ( -271.2 * -468.88 ^ 1 + -266.02 ) + -622.68 * 993.42 ^ 1 - ( 394.03 ),False
-12.84 -826.6 519.15 131.28 -733.75 -23.71 -932.01 744.65 -241.33 + / / + + + ^ 1 / -,-241.33 + 744.65 / -932.01 / -23.71 + -733.75 + 131.28 ^ 1 + 519.15 / -826.6 - -12.84,True
-680.94 * 567.43 -158.08 3.21 -522.4 - * / - 27.16 / -59.41 592.24 * * -865.6 84.09 /,-680.94 * ( -522.4 - 3.21 + -158.08 / 567.43 - ( 27.16 / ( 592.24 * -59.41 * ( 84.09 / -865.6 ) ) ) ),False
-572.42 -512.77 792.45 -816.24 - ^ 2 * - + 987.54 300.63 -454.68 394.84 / + ^ 1 /,-816.24 ^ 2 - 792.45 * -512.77 - -572.42 + ( 394.84 / -454.68 ^ 1 + 300.63 / 987.54 ),True
-784.35 + ^ 2 63.58 -671.12 95.2 33.16 -158.36 -837.13 716.44 -781.78 / / / * ^ + +,-784.35 ^ 2 + ( -781.78 / 716.44 / -837.13 / -158.36 * 33.16 + 95.2 + -671.12 + 63.58 ),False
-958.86 -342.82 172.41 -181.54 -221.32 47.42 -762.27 396.42 + + / + / * - + -98.97 9.65 /,( 396.42 + -762.27 + 47.42 / -221.32 + -181.54 / 172.41 * -342.82 - -958.86 + ( 9.65 * -98.97 ) ),False
689.75 -725.07 331.96 700.42 -871.92 -79.72 * + - 1 / - - ^ 2 + ^ 1 -743.19,-79.72 * -871.92 ^ 1 + 700.42 / 331.96 - -725.07 ^ 2 - 689.75 ^ 1 + ( -743.19 ),False
47.43 + ^ 1 363.91 688.88 -680.69 - * + -194.78 105.01 -582.18 197.75 / - - ^ 1,47.43 ^ 1 + ( -680.69 - 688.88 + ( 197.75 / -582.18 - 105.01 ^ 1 - -194.78 ) + 363.91 ),False
316.02 620.51 -353.49 108.94 736.62 -827.18 -984.3 378.33 - ^ 1 + + ^ 1 / * / +,378.33 ^ 1 - -984.3 + -827.18 ^ 1 + 736.62 / 108.94 * -353.49 / 620.51 + 316.02,True
-576.69 392.28 -662.58 532.42 -677.7 + ^ 1 * / - ^ 2 - -501.1 -157.22 -276.12 + *,-677.7 ^ 1 + 532.42 * -662.58 / 392.28 ^ 2 - -576.69 - ( -276.12 + -157.22 * -501.1 ),True
855.17 -730.36 -964.66 -757.21 524.91 * 537.88 -538.45 -795.98 / + / + ^ 1 - * - *,-795.98 / -538.45 + 537.88 / -101.96 ^ 1 + 524.91 - -757.21 * -964.66 - -730.36 * 855.17,False
-168.39 901.88 63.84 / / - -79.8 23.96 827.8 898.43 -342.99 -398.75 + * - + + ^ 2,( 63.84 / 901.88 / -168.39 - ( -398.75 + -342.99 * 898.43 - 827.8 + 23.96 ^ 2 + -79.8 ) ),True
-203.33 / 628.07 620.25 881.39 803.38 * -466.89 485.04 + - ^ 2 - + + + ^ 1,-203.33 / ( 485.04 + -466.89 ^ 2 - 56.31 - 803.38 + 881.39 + 620.25 ^ 1 + 628.07 ),False
127.96 643.38 826.73 -484.47 -279.27 -15.27 -525.96 604.64 -729.48 + / 1 - + + - * + +,-729.48 ^ 1 + 604.64 - -525.96 + -15.27 + -279.27 - -484.47 * 826.73 + 643.38 + 127.96,False
624.22 890.95 -613.38 169.98 -722.99 -327.19 - ^ 2 - ^ 2 + / + ^ 2 ^ 2,-327.19 ^ 2 - -722.99 ^ 2 - 169.98 + -613.38 / 890.95 ^ 2 + 624.22 ^ 2,True
-369.33 -531.02 605.69 580.7 -965.69 180.41 -246.38 -251.31 + ^ 2 - ^ 1 * / / + *,-251.31 ^ 2 + -246.38 ^ 1 - 180.41 * -965.69 / 580.7 / 605.69 + -531.02 * -369.33,True
298.66 -859.32 -174.39 614.76 617.64 -666.31 474.78 + ^ 2 - - / - - ^ 2 + 394.79,474.78 ^ 2 + -666.31 - 617.64 * 614.76 / -174.39 - -859.32 ^ 2 - 298.66 + ( 394.79 ),False
-571.86 885.82 -862.99 -220.7 906.89 + ^ 2 - - -46.39 632.44 -660.89 - ^ 1 * + /,906.89 ^ 2 + -220.7 - ( -660.89 ^ 1 - 632.44 * -46.39 ) - -862.99 + 885.82 / -571.86,True
390.92 242.67 -259.42 -844.28 -124.97 124.66 / - ^ 1 + ^ 1 + ^ 2 + ^ 2,124.66 / -124.97 ^ 1 - -844.28 ^ 1 + -259.42 ^ 2 + 242.67 + 390.92 ^ 2,True
86.41 40.46 -197.42 -746.59 251.75 589.36 + ^ 2 + ^ 2 + + / / 169.55 986.91 +,( 589.36 ^ 2 + 251.75 ^ 2 + -746.59 + -197.42 + 40.46 / 86.41 / ( 986.91 + 169.55 ) ),True
-875.02 -514.56 -872.69 349.55 331.83 -239.66 -450.69 405.0 + + - - ^ 2 + ^ 2 - -,( 405.0 + -450.69 + -239.66 / 331.83 ^ 2 - 349.55 ^ 2 + -872.69 - -514.56 - -875.02 ),False
