Original,Perturbed,Is_Equivalent
---/177*/*16*50585612/106697,1/77-16*(50*58)/56*12-10/66+97,False
----35*/6988722218*56+-303793,35-69/88*72-22-18-56*(30/37+93),False
-17+3+-++*35392116*/69762,17-3*(35*39+21+16-69/7*6+2),False
++7535+-+-**67681867/58182343,75+35+(67*68*18-67+58/18-23+43),True
*27*43--/787038/*2512-83*5197,27*(43*(78/70-38-25/12/(83-(51*97)))),False
++*6863/2163***+/803520229197,68*63+21/63+(80/35+88)*22*91*97,False
--/*/798944*-/659/6839376854,79/89*44+(65/9-68/39)*37-68-54,False
+-38/3857-+5831*8+-19*41118,38-38/57-(58+31-8*(19-4*11+18)),False
-++37293/38-+-*703318*46173,37+2+93-38/(70*33-18+4*61-73),True
+-61*/936692+-23/194-61/6730,61-93/66*92+(23-19/4+(61-(67/30))),True
+++2919---***863999467194,29+1+9+(86*39*99*46-7-80-94),False
++-+/7614**46585*701599/6856,76/14+4*65*85-70*15+99+(10/56),False
-+--*622/7733*/15593673/4037,62*2-77/33-15/59/36+73-40/37,False
+--++774267***3221143211*1810,77+42+67-32*21*14*32-11+18*10,True
+--+/**87292663*756284*42982,(87*29*26/63+75*62-84-42*9+82),True
---/****5314-691242899471164,53*14*(69-12)*42*8/99-47-11-71,False
-*//*3648584491++4684+12*8991,36*48/58/44+91-(46+84+(12+89*91)),False
-27*/6529*91-**165849+*36777,61-65/29*(91*(16*58*49-(36*77+7))),False
+-+---*438*795+999186334652,43*8-11*5-(99+91)-86+33-46+52,False
++-/*//*76447+72056476126,7*64/47/(7+20)*56/47-6+12+6,True
-95*/8747--/7045/*164387/8057,(95-87/47*(70/45+16*43/87-80/57)),False
**9967+13/*///*83122887831246,(99*67)*(13+(83*12/28/87)/83*12/46),True
--*557//40+195453--*32866550,(5*57-40/(19+54)/53-(32+86-65-50)),False
--++2949/3538++43*/3092465,(29+49+3/53-8-(43+(30/92*46)+(5))),False
--+--3552/55485231*/-80639894,35-52-55/48+52-31-(80-63)/98*94,True
-+-4638/-13***4618655994-711,46-38+(13-46*18*65*72)/94-(71-1),False
++++++7292/4514*1459964/6145,72+92+45/14+14*5+99+64+(61/45),False
+*/34+-49/*687764882-+799127,34/(49-68*77/64+8)*82+(79+91-27),True
//9785+-122--1028*43-35*5098,79/85/(12-2+(10-28-43*(35-50*(98)))),False
+96*/68+8558+-71/33*1971*8873,96+68/(85+58)*(71-33/(19*71)+88*73),False
-97--9495/70+-+34/*2097888350,97-(94-95-70/(34+20*97/88-83+50)),True
/*2260++67*5862+-/*6718476783,22*60/(67+58*62+(67*18/47-67+(83))),True
+--71*27152-+51*/*63966756,71-27*1-52+(51+63*41/6*67-56),False
+***7106152---17*7925*463311,7*10*61*52+(17-79*25-46*33-11),True
--/*/*478452974345//296*3752,47*84/52*97/43-45-32/6/(37*52),False
-+---**/982699919197863*2414,98/2*69*99-19-19-78+63-24*14,False
-+-80//535349/6989/*/89577617,80-53/53/49+69/89-89/57*76/(17),True
//*127198-85-60/3*36-+299473,12*97/98/(85-(60-(3/(36*(29+94-73))))),False
-+3949**7757-/3124-/19/789062,39+49-77*57*(31/24-(19/(78/90)-62)),True
++++52655*5122**3578-+7168,41+6+55+51*22+35*78*(71+6-8),False
-46--+-+39/-+895983087628875,46-(39+(89+5-98)/30-87+62-88-75),False
--69/1491+/+972///807181902,69-14/91-(97+2-(80/71/81)/90+2),False
-+53*///223184025*31**141517,53+22/3/18/40*25-31*(44*15*17),False
-64-+9924-4/76--348+*67361,64-(99+24-(4-76/(34-8-(67*3+61)))),True
+++294521**3879//6029+/581012,(29+45)+21+(38*29)*(60/29/(58/10+12)),False
-73/65*45*/1974+--37360/2335,(73-65/(45*(19/74*(3-73-60+23/35)))),True
++--+5617*/659032*161733*4972,(56+17)-65/90*32-16*17+33+49*(5),False
+++*6057/*12659398/57+*867628,60*57+(12*65/93)+98+57/(86*76+28),True
--+86-+/1481501798---4775822,(86+(14/81+50-17)-98-(4-77-58-22)),True
+-**29126413//6460-/731*9015,29*12/64-13+64/60/(73/1-90*15),False
-33*//47//*//3455887583566944,33-47/(34/55/88*75/83/56)/69*44,True
-++*9252/671945//*/2124876442,92*52+67/19+45-21/24*87/64/42,True
+-/74*6796+24*9411+/*3937287,74/(67*96)-(24+94*11)+39*3/72*(87),False
++65/3912*45-++/41923933*8536,65+39/12+45*(41/92+39+33-85*36),True
**19-+--*797953/631726/70738,19*(79*79-53-63/17+26-70/7)*38,True
-+-48*64*/132643*//33529531,48-6*4+13/26*43-33/52/95*31,True
*/996++56*////7022356538770,99/6*(56+70/22/3/56/53*87+70),True
+-++/*33981126/528792/*207671,33*98/11+26+52/87-92+20*76/71,True
-+*37-2817*4560++-+169866357,37*(28-17)+45*60-(16+98-6+63+(57)),True
+++/115932-//156992//83619198,11/59+32+(15/69/92-83/61/91)+98,True
-+-*/394287-42193*-8680+797,39/42*87-(42-1)+93-(86-80)*(79+(7)),True
+/7123+**/60*7883494/*4589,(71/23+(60/(27*83)*4*94+(4*5/89))),False
+-/53**401590/848**/43209445,53/(40*15*90)-84/8+43/20*94*45,True
-+96*80++82+84*52868**223179,96+80*(82+(84+52*86)+8)-22*31*79,True
*/3247++-+-/7837*734035655361,32/47*(78/37-73*40+35-65+53+61),True
+++-10353988*//85427-13*4390,(10-35+39+88)+85/42/7*(13-(43*90)),True
-57--++215352**692083/45-6173,57-(21+53+52-69*20*83-45/(61-73)),True
++--89*/*2115174786//37202143,(89-21*15/17*47-86+37/20/21+43),True
--++++61*7344*18255224/867454,61+73*44+18*25+52+24-86/74-54,True
*72-+*-++1986*49405*53686113,72*(19+86+49*40-5-53*68+61-(13)),False
+--7393*8575*/6229--3462/1340,73-93-85*75+62/29*(34-62-13/40),True
+*/*70544618/55+/362+4/7272,70*54/46*18+(55/(3/62+(4+98/(72)))),False
-++++/123267/18429/*6640671,12/32+67+1/84+29+66*40/6-(71),True
+++3199*/458221+78*//14474784,31+99+45/82*21+(78+14/71/47*84),False
/42+92-+/301399*/-1/94599532,97/(92+(30/13+99-(1-94/59)/95*32)),False
--+62*/582195***/869989217036,62+58/21*95-86/99*89*21*70-36,True
-28+-5669***//4571613661-1831,28-(56-69+45/71/61*36*61*(18-31)),True
+-5926+--51--3241//495414325,(59-26)+(51-(32-41-49/54/14)-32+5),True
-+-+-1498*71979*/462895/9928,14+98+7*19-79+46/28*95-99/28,False
+--//*/935133367/4669*985122,93/51*33/36/7-46/69-98*51+22,True
