Original,Perturbed,Is_Equivalent
+ + - -144 929 / -4 -242 895,772 - 929 + -4 / -242 + 895,False
+ + 305 / 235 532 / -282 -604,305 + 235 / -980 + -282 / -604,False
/ / / / 917 -781 516 -627 283,917 / -781 / 516 / -627 / 283,True
- - * 226 -139 -21 / -649 549,226 * -139 - -21 - -649 / 549,True
- - / 466 -80 / -243 -857 -913,466 / -80 - -243 / -857 - -913,True
+ - - / 687 801 710 83 84,687 / 801 - 710 - 83 + 84,True
* * / / -813 -32 -721 -754 261,-813 / -32 / -721 * -754 * 261,True
+ - + 459 / -941 -154 661 -422,459 + -941 / -154 - 661 + -422,True
+ - 463 / / -840 916 828 711,463 - -840 / 916 / 828 + 711,True
- / * -84 -579 -581 * -39 315,-84 * -579 / -581 - -39 * 315,True
- + + - -135 -106 -451 319 -613,-619 - -106 + -451 + 319 - -613,False
+ + -772 -344 * / 912 85 -700,-772 + -344 + 912 / 85 * -700,True
- - 609 37 / / -108 -205 -819,609 / 37 - -108 / -205 / -819,False
+ - * 771 677 -763 * 791 32,771 * 677 - -306 + 791 * 32,False
+ + * 381 -14 * 711 716 -144,381 * -14 + 711 * 716 + -144,True
+ - - -656 / -469 -884 -141 -99,-656 - -469 / -884 - -141 + -99,True
- / * -104 32 -675 / 48 -462,-104 * 32 / -675 - 48 / -462,True
+ - * -837 -558 * 718 -431 105,-837 * -558 - 718 * -431 + 256,False
+ - -572 / 20 673 / 264 54,-572 - 20 / 673 + 264 / 54,True
/ / / * -858 729 337 -690 -694,-858 * 729 / 337 / -690 / 828,False
+ + / 433 79 * 969 320 -712,433 / 79 + 969 * -607 + -712,False
- / * * -674 967 294 -191 -580,-674 * 967 / 294 / -191 - -580,False
+ * / -247 839 -571 * -132 -246,-247 / -948 * -571 + -132 * -246,False
- + + / 630 -187 -954 188 -777,630 / -56 + -954 + 188 - -777,False
- - -93 / / 293 914 -190 359,-93 - 293 / 914 / -190 - 359,True
+ -3 / * + 183 700 559 669,-3 + 183 / 700 * 559 / 669,False
* / / / 906 391 -622 682 885,906 / 391 / -622 / 682 / 885,False
- + / 912 -332 * -581 -187 390,912 / -332 + -581 * -187 - 733,False
- / * * -822 901 -485 641 197,-822 * 901 * -485 / 641 - 197,True
- + -824 -552 * / 638 680 -894,-824 - -552 - 638 / 680 * -894,False
+ * -80 -252 / / -485 -728 824,-80 * -252 + -485 / -728 * 824,False
- / * 485 950 -58 / 869 -376,485 * 426 / -58 - 869 / -376,False
+ + + * 641 835 -977 98 943,514 * 835 + -977 + 98 + 943,False
- * / * 116 243 900 -957 -35,116 * 243 / 900 * -957 - -35,True
* * / * 236 -50 140 8 903,236 * -50 / 140 * 8 * 903,True
* * / / 62 497 -32 202 95,62 / 497 / -32 * 202 * 95,True
+ + * 489 -285 65 / 807 724,489 * -285 + 65 + 807 / 724,True
- + - 692 91 / 649 -898 845,692 - 91 + 649 / -898 - 845,True
- -491 / / / -874 307 -551 174,-491 - -874 / -431 / -551 / 174,False
- - - / -634 343 -970 -673 698,-634 / -66 - -970 - -673 - 698,False
+ + + -132 396 + 380 280 98,-132 + 396 + 380 / 280 + 98,False
- - * 511 751 / -747 188 -258,511 * 751 - -747 / 188 - 295,False
+ - -299 / / -142 773 119 831,-299 - -142 / 773 / 119 + 831,True
+ + - + -533 -286 198 113 -42,-533 + -286 - 198 + 113 + -42,True
+ + - * -775 219 646 -751 -880,-775 * 219 - 646 + -751 + -89,False
+ + -773 + * -907 -744 -687 -571,-773 + -907 * -744 / -687 + -571,False
- - -219 129 * - -747 938 -854,-219 - 129 - -747 / 938 * -854,False
+ - 371 / / -615 943 -312 -861,371 - -615 / 943 / -312 + -861,True
- - + -935 -241 - 247 -663 408,-935 + -241 - 247 / -663 - 408,False
- - + 360 901 * 451 -451 484,360 + 901 - 451 * -451 - -983,False
- - / * -684 -698 856 -990 190,-684 * -698 / 856 - -201 - 190,False
+ - -453 * 244 -476 / 253 -821,-453 - 244 * -476 + 253 / -630,False
- - - -859 / -527 759 258 -909,-859 - -564 / 759 - 258 - -909,False
- / * * 289 -781 646 834 -767,289 * -781 * 646 / 834 - -767,True
- + -617 934 * / 862 629 807,516 + 934 - 862 / 629 * 807,False
- + / 384 855 * -611 437 265,384 / 855 + -611 / 437 - 265,False
* * / / 504 -239 -296 615 -763,504 / -239 / -296 * 615 * -763,True
+ - - 653 783 376 * -587 -866,653 - 783 - 376 + -180 * -866,False
+ - - -306 556 / -427 -248 716,-898 - 556 - -427 / -248 + 716,False
/ / * / -259 344 517 988 212,-259 / 344 * 517 / 988 / 212,True
+ + -665 553 * * 90 -1 923,-665 + 553 + 90 * -1 * 923,True
- + -62 / * -870 -244 -371 -99,282 + -870 * -244 / -371 - -99,False
- 63 / * * 544 756 -199 -221,63 - 544 * 756 * -199 / -221,True
- + + 172 -203 * 893 227 -643,450 + -203 + 893 * 227 - -643,False
+ - -118 / -189 -88 * -52 -272,-118 - -189 / -88 + -52 * -272,True
+ - + / 619 -208 675 986 -831,619 / -208 + 675 - 986 + -831,True
- * - -274 -800 -150 * 321 159,-274 / -800 * -150 - 321 * 159,False
+ / - -914 706 -587 / -218 -268,-914 - 706 + -587 + -218 / -268,False
- - -261 * 93 -250 / -942 14,-261 + 93 * -250 - -942 / 14,False
+ + * -747 48 77 * 277 -324,-747 * 48 + 77 + 277 * -324,True
+ + + -948 737 / -991 830 179,-948 + 267 + -991 / 830 + 179,False
- - 760 / -167 -592 / 478 951,760 - 598 / -592 - 478 / 951,False
- - / / 758 -43 319 55 -638,758 / -43 * 319 - 55 - -638,False
- + - + 302 972 605 420 684,302 + 972 - 605 + 420 - 684,True
+ + / 221 248 * 463 926 -893,221 / 248 + 463 * 926 + -893,True
+ - + * -7 -176 747 784 66,-7 * -176 + 747 - 784 + 66,True
+ 729 / / / -597 -134 881 958,729 + -486 / -134 / 881 / 958,False
+ + 514 * / 786 -503 605 301,-768 + 786 / -503 * 605 + 301,False
- - / -5 -116 * -667 -631 13,-5 / -116 - -667 * -631 - 13,True
- - + - -248 -121 -11 636 181,-248 - -121 + -11 - 636 - 181,True
+ + / * -655 -856 -462 648 434,-655 * -856 / -462 + 648 + 434,True
- - 363 / / -620 -609 195 523,363 - 210 / -609 / 195 - 523,False
+ / * 207 -850 -734 * 197 922,207 * -850 / -734 - 197 * 922,False
+ / -486 -220 / * -994 -678 -451,-486 / -220 + -994 * 69 / -451,False
+ - + 37 -337 / -985 694 -535,37 + -337 - -985 / 694 + -535,True
- + -550 / 181 -695 * 220 -727,-550 + 181 / -695 - 220 * -727,True
+ + -265 -763 * / 621 -59 130,-265 + -763 + 621 / -59 * 130,True
- 966 * / / 547 494 -425 62,966 - 547 / 494 / -425 * 62,True
+ + * -91 621 -476 / 775 -485,-91 * 909 + -476 + 775 / -485,False
- + + 923 -358 / 327 -965 -926,923 + -358 + 327 / -965 - -926,True
+ - - 204 547 * -132 570 78,204 - 547 - -132 * 570 + 78,True
- - - + -385 236 -3 -960 798,-385 + 236 - -3 - -960 - 798,True
+ + * 328 -215 533 / 238 -718,328 * -215 + 533 + 238 / -718,True
+ - - / 155 -758 377 -893 -367,155 / -758 - 377 - -893 + -367,True
+ - * -21 223 208 / 404 -426,912 * 223 - 208 + 404 / -426,False
- -199 / * * 761 699 248 -785,-199 - 761 * 699 * 248 / -785,True
+ + -454 * -197 578 / 192 923,-454 + -197 * 578 + 192 / 923,True
+ + / * -634 -490 -786 785 -1000,-634 * -490 / -786 + 785 + -1000,True
- - 676 584 / / 570 -736 -389,676 - 584 - 570 / -892 / -389,False
- - * 582 -445 * 596 457 993,582 * -445 - 596 * 457 - 993,True
