Original,Perturbed,Is_Equivalent
( 29 * 62 / 85 ^ 1 + 85 ),29 62 / 85 1 ^ / 85 +,False
28 + 35 / 83 ^ 5 - 36,28 35 83 2 ^ / + 36 -,False
38 + 78 * 65 - 28 - 91,38 78 65 * + 28 - 91 -,True
91 + 50 * 49 - 28 ^ 1,91 50 49 * + 28 1 ^ +,False
4 + 63 * 23 - ( 97 / 37 ),4 63 * 23 * 97 37 / -,False
83 / 69 ^ 2 + 60 + 61,83 72 2 ^ / 60 + 61 +,False
54 - 49 * 58 * 56 + 48,54 49 58 * 56 * - 48 +,True
58 + ( 87 * 66 * 15 + 36 ),58 87 66 * 15 * 36 + +,True
72 / ( 27 ^ 39 + 13 + 72 ),72 27 2 ^ 13 + 72 + /,False
28 ^ 10 + 13 + 43 + 62,28 10 / 13 + 43 + 62 +,False
( 59 * ( 81 / 21 ^ 29 - 99 ) ),59 81 21 1 ^ / 99 - *,False
51 - ( 70 * 90 ^ 2 - 93 ),51 70 90 2 ^ * 93 - -,True
27 ^ 1 - 60 / 51 / 40,27 1 ^ 60 51 / 99 / -,False
94 - 46 + ( 97 ^ 1 - 34 ),72 46 - 97 1 ^ 34 - +,False
48 + 57 - 3 + 29 - 53,48 57 + 3 - 29 + 53 -,True
2 * ( 70 ^ 6 * 24 / 73 ),2 70 6 / 24 * 73 / *,False
52 ^ 2 + 10 * 66 * 57,52 2 ^ 10 66 * 57 * +,True
35 / 91 + 92 ^ 1 - 97,35 71 / 92 1 ^ + 97 -,False
8 / ( 60 + 44 ^ 2 - 42 ),8 60 44 2 ^ + 36 - /,False
93 / 28 - 89 ^ 2 - 92,23 28 / 89 2 ^ - 92 -,False
10 * 61 + 82 ^ 2 - 72,10 61 * 82 2 ^ + 72 -,True
13 - 50 * 19 ^ 2 + 20,13 50 19 2 ^ * - 20 +,True
91 + 3 - 84 - 79 ^ 1,91 3 + 84 79 1 ^ / -,False
10 - 98 / ( 63 + 33 ) - 47,10 98 63 33 + / - 47 -,True
49 - 75 ^ 2 - 52 ^ 1,49 75 2 ^ - 52 1 ^ -,True
5 ^ 2 + 72 - 27 ^ 1,5 2 ^ 72 + 27 1 ^ -,True
20 + 91 * 64 / ( 24 + 54 ),20 91 64 * 24 54 + / +,True
53 + 16 + 74 ^ 2 - 12,53 16 + 74 2 ^ + 12 -,True
( 45 - 35 ^ 1 + 90 / 79 ),45 35 1 ^ - 90 79 / +,True
79 - 61 / 74 - ( 70 + ( 81 ) ),79 61 74 / 70 81 + / -,False
69 / 31 * 39 ^ 2 - 72,69 10 / 39 2 ^ * 72 -,False
93 * 55 - 94 - 71 + 57,93 55 * 94 - 71 - 57 +,True
78 + 94 / 33 ^ 2 - 2,78 94 33 2 ^ / + 2 -,True
25 - 87 - 17 + 86 - 27,25 87 - 17 + 86 + 27 -,False
23 ^ 1 - 31 + 51 ^ 2,23 1 ^ 31 - 51 2 ^ +,True
73 - 80 - ( 55 * 10 / 29 ),73 80 - 55 10 * 29 / -,True
85 ^ 1 + 12 / 42 - 64,85 1 ^ 12 42 / + 64 -,True
97 - 81 * 48 * 71 - 73,97 81 48 * 71 * - 73 -,True
75 - 40 - ( 86 + ( 38 * 96 ) ),75 40 - 86 38 96 * + -,True
94 - 57 * 58 ^ 2 - 37,94 57 58 2 ^ * - 91 -,False
49 / 14 - 59 * 94 + 8,49 14 / 59 94 * - 8 +,True
39 ^ 2 - 99 - 44 - 10,39 2 ^ 99 - 44 - 53 -,False
( 56 - 99 - 71 * 12 ^ 1 ),56 99 - 71 12 1 ^ * -,True
78 / 44 ^ 1 * 82 - 11,78 44 1 ^ / 82 + 11 -,False
21 ^ 1 - 28 ^ 34 + 20,21 1 ^ 28 2 ^ - 20 +,False
( 14 / 32 + 18 ) * 31 / 58,14 32 / 18 + 31 * 58 /,True
8 ^ 1 - 94 ^ 2 - ( 55 ),8 1 ^ 94 2 ^ - 55 -,True
33 / 61 / 32 - ( 30 - 35 ),33 61 / 32 / 30 35 + -,False
( 98 * 7 ^ 68 ^ 1 - 71 ),98 7 * 68 1 ^ / 71 -,False
92 ^ 2 - 72 ^ 1 + 28,77 2 ^ 72 1 ^ - 28 +,False
56 / 57 - 96 / ( 33 ^ 1 ),56 57 / 96 - 33 1 ^ -,False
36 - 90 - 76 * ( 11 + 98 ),36 90 - 76 11 15 + * -,False
13 ^ 2 - ( 21 / 56 / 12 ),13 2 ^ 21 56 / 37 / -,False
49 * 54 / 56 + 53 / 1,49 54 * 56 / 53 1 ^ +,False
25 * 56 * ( 6 * 8 ^ 1 ),25 56 * 6 8 1 ^ + *,False
96 + ( 8 ^ 1 - 71 + 25 ),96 8 1 ^ 71 - 25 + +,True
63 / 49 ^ 2 - 17 / 77,11 49 2 ^ / 17 77 / -,False
79 + 33 + 75 + 44 - ( 96 ),79 33 + 75 + 44 + 96 -,True
97 * 82 - 55 + 14 - 36,97 82 * 55 14 / - 36 -,False
82 - 87 + 94 * 29 / 62,82 87 - 94 29 * 62 / +,True
15 + ( 50 * 27 * 89 - ( 49 ) ),15 50 27 * 89 * 49 + +,False
9 - 55 - 13 ^ 2 - 91,9 44 - 13 2 ^ - 91 -,False
61 + 23 + ( 1 * 61 - ( 34 ) ),61 23 + 62 61 * 34 - +,False
21 + 67 / 42 * 18 * 69,21 42 42 / 18 * 69 * +,False
( 51 + 87 - ( 88 ^ 1 - 63 ) ),51 87 + 88 1 ^ 63 - -,True
