Original,Perturbed,Is_Equivalent
-66 + -36 * 98 - 36 + -59,-66 -36 98 * + 36 - -59 +,True
-31 + -6 / 85 + 60 - 23,-31 -6 85 / + 60 + 23 -,True
-44 / -32 / 29 + -32 * 26,-44 -32 / 29 / -32 26 * +,True
-8 * 9 - -16 * 51 + -100,-8 81 * -16 51 * - -100 +,False
37 - 13 / 88 + 56 - -24,-67 13 88 / - 56 + -24 -,False
95 / -94 + 90 * -51 * -39,95 -94 / 90 -51 * + -39 -,False
56 / 17 - 2 - 58 - 76,56 17 / 2 - 58 - 76 -,True
1 + -74 / -66 / -54 - -72,1 -74 54 / -54 / + -72 -,False
-16 + 14 + 52 / 66 / -25,-16 14 + 52 66 / -80 / +,False
-6 + 3 + 43 - -12 + -65,-6 92 + 43 + -12 - -65 +,False
43 - 36 + 65 * 65 - 42,43 36 - -58 65 * + 42 -,False
30 - 75 * -48 / 98 - -77,30 75 -48 * 98 / -77 * -,False
41 * -45 * -26 * -19 / -64,41 -45 * -26 * -19 * -64 /,True
73 - -11 + -41 - 61 / 96,73 -11 - -41 + 61 96 / -,True
92 / 70 / -75 + 55 * -65,92 70 / -75 / 55 + -65 -,False
-22 * -15 / -52 / 63 + 77,-22 -15 * -52 / 63 / 77 +,True
26 + 4 * 94 / -33 + -79,26 4 94 * -33 / + -79 +,True
14 - 18 - 86 * -100 / 21,14 -60 - 86 -100 * 21 / -,False
-31 + 18 * -70 - 17 * -57,-31 18 -70 * + 17 -57 * -,True
53 / -71 - 79 - 95 + 54,-5 -71 / 79 - 95 - 54 +,False
10 * -7 * 46 + 13 * -36,10 -7 * 46 * 13 -36 / +,False
-61 * 58 / 3 + -4 * -70,-61 58 * 3 / -4 / -70 *,False
-37 * 41 / 88 + -52 + 68,-37 41 * 88 / -52 + 68 +,True
-21 / -25 + -62 - -15 - -70,-21 -25 - -62 + -15 - -70 -,False
46 - -47 + -35 - 27 / -91,46 -47 / -35 + 27 -91 / -,False
-45 / 64 + 5 * 40 + 22,-45 64 / 5 40 * + 22 +,True
-82 * 32 * -41 - -52 + 8,-82 32 * -41 * -52 - 8 +,True
38 + 47 / -99 / -50 - 20,38 47 -99 / -50 / + 24 -,False
60 / -13 - -14 / 44 / -30,60 -13 / -14 44 / -30 * -,False
-82 / -79 * -42 / 31 + 40,-82 -79 / -42 * 31 + 40 +,False
-52 * 37 + -65 + -18 - 18,-52 37 * -65 + -18 + 18 -,True
