Formula,Result
* 76.26 - -92.98 / 70.75 66.55 * / 77.55 1 ^ + 55.72 + 22.19 - 13.62 -55.47,-9890.19
/ 41.28 * 51.69 * 68.28 + 4.52 / 99.1 * -87.5 / -93.62 2 ^ 43.68 / 37.43,0.15
1 ^ + 93.53 1 ^ + -70.27 + 96.14 1 ^ - 79.3 / -5.89 + -85.21 -2.4,196.23
2 ^ + -19.71 - 21.56 2 ^ + -14.54 + 56.91 / -86.34 -99.41 - 83.56 * 5.69,-90.53
2 ^ - 26.87 / -1.05 -26.24 - - 86.05 + 19.62 - 7.66 - 66.54 / -33.38 57.73,557.99
* 76.42 * 0.12 / 22.48 - 22.55 1 ^ - -81.06 * -70.16 - -22.59 - -29.03 -12.09,-1453.59
/ -10.6 - -95.19 2 ^ + -34.88 1 ^ + -3.16 - -1.69 2 ^ - 59.89 -86.75,-2288.19
+ -22.83 2 ^ - 84.82 * -24.95 + 36.4 / -24.46 + -84.21 * -96.02 10.88 / -93.19,7173.91
2 ^ - 0.36 1 ^ - -2.86 / -36.48 + 50.85 + 79.65 + -1.75 * 47.71 -41.04,-1876.41
+ -58.99 + -69.17 - 85.35 2 ^ 2 ^ - -59.89 * -15.85 * 61.63 8.07 - -66.52,85.85
1 ^ - 47.88 - 74.54 - -74.51 * 32.95 39.33 1 ^ / -18.72 - -32.56 / 31.87,1.7
+ 57.7 / -30.24 * 55.62 - -41.99 / 98.5 + -60.88 - -10.61 * 20.93 2 ^ 40.18,-33718.53
- -71.2 2 ^ + 30.41 1 ^ + 92.83 + -52.52 + 21.91 / -99.45 + 27.75 -10.71,-948.04
+ -42.09 / 72.95 / 66.41 - 63.49 * 57.5 - -71.57 2 ^ -45.75 / -81.58 * -79.83,-41.04
- -28.0 + 74.34 / -44.25 + -68.11 + -88.56 / -0.69 / 48.63 + -90.9 60.07 / 83.44,-190.25
/ 10.22 / 38.19 / 43.08 * -76.92 2 ^ + 86.64 * 36.76 - -53.18 + -70.74 72.3,-1812.46
+ 65.07 / -69.22 * -21.59 1 ^ + 90.07 - -33.74 / 33.68 - 7.97 / -25.12 -48.27,315.36
* 6.73 1 ^ / -51.42 -58.72 - - -69.81 / 77.83 * 30.27 * -58.57 1 ^ 79.41,11488.03
2 ^ - 89.63 - -24.74 + -43.62 + 51.31 / 11.79 + 48.74 - -53.5 -64.13 * 4.15,8366.09
* 57.16 + -81.07 + -84.14 + -7.15 / 62.12 1 ^ + -44.35 1 ^ - -41.43 29.26,-4797.34
2 ^ + -61.1 + 4.52 1 ^ - -64.69 * -47.53 1 ^ + 9.68 / 5.15 67.17,-3333.21
+ -42.97 1 ^ - -19.0 -80.09 * + 14.63 + -26.7 -71.93 1 ^ + 2 ^ -51.68,-4402.2
+ 80.98 * -37.3 + -73.2 * 18.71 + 0.89 * 87.99 1 ^ + 69.1 / -44.61 61.35,8907.37
1 ^ - 17.66 + -6.67 * 36.23 - 74.45 - 2.8 + -75.59 -58.67 - -50.38 + -7.34,-2644.07
- -8.61 + -71.28 2 ^ - 77.1 + -76.81 + 14.66 2 ^ 39.48 / -17.89 + 6.96,5937.96
1 ^ + -45.29 - 11.2 + -69.34 1 ^ + 11.56 + -66.08 1 ^ + -4.6 -42.84,-66.71
/ -78.06 * 42.99 / 88.15 / -94.05 * 26.3 - 33.96 1 ^ - -73.08 -55.97 / -92.1,-0.0
* -78.42 -85.03 * - -85.14 / 18.56 * 42.43 1 ^ - -20.75 - 30.88 - 97.75 75.13,-567912.68
2 ^ + 73.16 + -2.13 -30.61 / / 58.21 + -55.4 1 ^ + 8.75 + 37.29 98.73,143.12
* 48.0 + 15.28 1 ^ - -99.89 / 77.03 / 96.7 + -73.85 + -12.39 87.21 + 77.4,706.07
2 ^ + 42.43 * -22.68 52.26 1 ^ - -18.14 -63.39 1 ^ / - -63.82 + -20.27,-97.68
2 ^ - 28.44 * 58.56 + 50.71 / -14.29 2 ^ - 35.63 65.21 * / 13.07 70.57,-2179.4
2 ^ - -86.56 2 ^ + 14.91 * -57.42 + -37.66 - -62.02 48.81 * -16.28 - 29.89,-7326.93
+ -10.03 * -30.82 / 61.3 / 29.5 * 65.52 + -87.2 - 71.28 95.07 * 56.65 + 4.79,2097.51
* 66.85 * -50.22 + 24.89 + -94.64 - 96.94 / -66.44 - -55.62 + 14.43 / -75.99 -26.04,-83571.29
/ 37.6 * 40.79 - 3.79 / 30.06 - 98.66 / 93.19 2 ^ 31.23 - -31.32 - 21.9,953.63
2 ^ - 78.46 26.87 1 ^ + - -86.41 2 ^ - -91.11 * 30.07 1 ^ 99.31,-2100.32
2 ^ - 65.47 / 13.17 + -64.56 2 ^ + 47.09 1 ^ + -84.07 + -99.96 51.28,6371.24
* -83.18 / -52.44 * 93.96 * 88.23 + -19.17 - 25.64 * 73.9 1 ^ - -40.7 0.97,-75487.0
- 61.16 + -3.57 2 ^ - 25.7 - -31.11 * -92.03 / -86.42 + 1.9 79.36 / 50.25,-3428.95
1 ^ * 66.83 - -2.42 * -66.29 * 97.41 1 ^ + -35.02 87.14 - -61.62 + -83.48,226064.45
* -40.29 2 ^ - 45.75 2 ^ + -61.86 - 49.09 43.59 + 6.8 + 18.11 + -83.3,3627.28
