Formula,Result
1 ^ - 0.01 2 ^ - 0.49 * 0.11 -0.04,-0.23
* 0.06 1 ^ - -0.29 + 0.05 -0.36 - -0.07,0.36
* 0.19 + 0.37 + 0.15 / -0.34 / 0.39 0.41,-1.91
1 ^ + 0.18 - 0.2 0.13 - 0.3 - 0.1,0.15
2 ^ + -0.28 2 ^ + 0.48 -0.29 + -0.03,-0.17
- 0.1 + 0.47 / 0.21 / 0.45 -0.21 + 0.07,-2.52
* -0.36 - 0.09 * 0.11 + 0.16 0.14 * 0.03,-0.04
/ 0.28 - -0.46 / 0.49 + 0.08 1 ^ 0.14,-6.59
* -0.49 + 0.43 / 0.43 0.4 2 ^ / -0.26,-0.44
1 ^ + -0.23 / 0.38 + -0.43 * -0.02 -0.09,-1.11
+ 0.26 / -0.18 * -0.38 * 0.0 2 ^ -0.01,0.26
1 ^ / 0.15 * 0.38 * -0.15 -0.43 - 0.17,0.14
1 ^ + 0.17 / -0.1 0.31 / -0.25 + 0.16,1.1
/ 0.08 * 0.19 * 0.25 + -0.44 2 ^ 0.09,-0.04
/ 0.3 1 ^ / 0.01 1 ^ 0.2 - -0.3,-1.05
2 ^ - -0.49 + -0.26 - -0.49 - -0.2 0.36,-0.63
* -0.16 + -0.18 * -0.17 - 0.06 0.32 / 0.46,0.33
2 ^ + 0.14 * -0.01 0.21 / -0.46 / -0.04,0.02
- 0.0 + 0.05 * -0.26 + -0.33 0.18 - 0.37,0.23
2 ^ - 0.14 1 ^ + -0.46 1 ^ -0.28,0.2
+ -0.48 / 0.43 / 0.38 - 0.19 + 0.48 -0.29,4.71
/ -0.15 + 0.15 + -0.11 0.03 * 0.35 / 0.07,-0.22
2 ^ - 0.31 1 ^ + -0.47 0.42 - 0.34,-0.19
- 0.03 - 0.18 - 0.04 + -0.28 - 0.38 0.02,0.45
* -0.2 / -0.21 / -0.16 * -0.12 -0.32 + -0.12,-0.58
* -0.16 1 ^ - 0.41 - 0.25 -0.03 - 0.42,-0.26
/ 0.11 + 0.37 * 0.19 * 0.22 - -0.09 0.26,0.03
/ 0.27 * -0.13 1 ^ + -0.19 / 0.3 0.24,1.64
- -0.43 1 ^ + -0.42 0.09 - 0.38 / -0.11,-0.39
/ 0.15 2 ^ + -0.14 + -0.42 - -0.33 -0.32,-8.08
- 0.4 - 0.4 - -0.31 - -0.34 2 ^ -0.07,0.65
