Formula,Result
0.1 0.07 0.05 0.08 0.07 0.05 0.03 0.05 0.1 + * / - + - - +,0.12
0.04 0.1 0.05 0.02 0.08 0.04 0.07 0.04 0.1 + - / - - / * *,-1.69
0.07 0.02 0.09 0.08 0.03 0.04 0.03 0.06 0.01 / / - / - * / +,3.93
0.06 0.03 0.02 0.06 0.09 0.1 0.09 0.08 0.03 / / / + * + / +,42.4
0.02 0.04 0.08 0.08 0.06 0.1 0.07 0.09 0.03 * * * - - / - /,-3.06
0.03 0.06 0.01 0.1 0.1 0.09 0.02 0.02 0.04 - / - - - * - /,-3.15
0.08 0.1 0.04 0.04 0.09 0.03 0.09 0.04 0.05 - + * / - / - +,-0.98
0.06 0.1 0.08 0.02 0.07 0.06 0.09 0.05 0.06 - + + + + * - +,0.19
0.01 0.05 0.02 0.04 0.04 0.1 0.02 0.06 0.09 + + * + - - * +,0.16
0.05 0.06 0.1 0.1 0.01 0.06 0.08 0.01 0.09 + + + - - * - -,0.11
0.02 0.08 0.02 0.1 0.01 0.02 0.06 0.04 0.06 + + / / + + + *,300.22
0.04 0.01 0.07 0.03 0.04 0.07 0.06 0.1 0.05 / + - / + * * /,-1.19
0.05 0.03 0.07 0.1 0.02 0.03 0.09 0.03 0.09 - + + - + - + +,0.27
0.04 0.04 0.03 0.05 0.07 0.07 0.02 0.03 0.09 / - / - + + / +,3.48
0.1 0.08 0.05 0.04 0.09 0.03 0.05 0.08 0.02 + / * / / * * /,0.55
0.03 0.06 0.07 0.04 0.01 0.08 0.06 0.07 0.03 / / / / * * - +,24.97
0.01 0.03 0.03 0.04 0.04 0.1 0.04 0.05 0.02 * * - - / - * *,-1.1
0.05 0.03 0.04 0.05 0.07 0.04 0.01 0.06 0.07 + + * + / / * /,21.13
0.1 0.1 0.1 0.1 0.02 0.09 0.05 0.01 0.01 * + + + * + / /,10.14
0.03 0.04 0.05 0.09 0.06 0.08 0.01 0.03 0.03 + + - + - * + *,0.05
0.04 0.03 0.06 0.03 0.06 0.09 0.08 0.06 0.08 + - - * * + * /,0.1
0.1 0.08 0.05 0.09 0.04 0.08 0.08 0.09 0.08 - * * + * / - /,-0.65
0.06 0.03 0.05 0.03 0.04 0.02 0.07 0.05 0.06 - / - / / + - +,-17.24
0.04 0.04 0.01 0.03 0.03 0.05 0.04 0.01 0.03 / + - - * * / /,2.98
0.02 0.07 0.08 0.06 0.05 0.05 0.02 0.05 0.06 - * * / - / / /,-535.66
0.09 0.08 0.01 0.07 0.08 0.07 0.04 0.06 0.07 - * + / / + / -,12.6
0.09 0.08 0.07 0.05 0.1 0.06 0.07 0.07 0.01 * - + / / - - /,10.97
0.05 0.05 0.05 0.04 0.07 0.04 0.1 0.07 0.04 + / + + - * + /,1.85
0.07 0.03 0.04 0.01 0.08 0.03 0.07 0.07 0.05 + * * + - / + *,-0.12
0.1 0.06 0.02 0.04 0.01 0.08 0.04 0.05 0.03 * - + + * * + *,0.05
0.01 0.05 0.04 0.09 0.09 0.06 0.01 0.04 0.02 - / * - - * / *,-0.31
