Formula,Result
527 924 - -272 + 213 + 934 -,527 - 924 - -272 + 258 - 934
-662 612 / 81 - -816 - -800 -,-662 / 612 - -994 - -816 - 105
-622 -565 / 116 - -6 -751 / /,-622 / -565 - 116 + -6 + -751
-741 336 + -524 - 95 + -977 /,-741 * 6 - -524 + 893 * -977
-528 -389 -625 / -530 * + -318 -,-528 + -257 / -34 * -340 - -318
379 -273 / 922 / 606 + -435 +,379 / -273 / -750 + 333 + -435
-805 -942 * 567 / 341 / -931 *,-805 * -942 / 567 / 341 * -931
-999 444 -114 / 31 / + 926 -,-999 + 444 / -114 + 737 - -772
-20 -322 18 - - -526 / -198 /,-20 - -322 / 18 - -239 / -198
134 295 -873 / + -748 -864 / -,134 * 295 / -873 - -748 - -852
342 -108 -133 / - -301 + 173 +,-4 - -108 / -133 + -301 + 173
516 -378 / -564 * 900 + -359 -,516 / -327 * -564 * 900 - -359
-58 -13 + -211 + -521 -533 * -,-926 + -13 + -211 - -521 / -533
-656 -971 * -301 / -703 - -522 /,-656 * 245 / -301 - -944 + 510
-742 987 - 17 / -895 * -76 /,-742 * 349 / 254 * -895 / -76
740 -72 / 580 - 531 / 585 /,740 / 843 * 580 / 531 / 585
768 851 / 382 -984 / - -758 +,768 / 534 - 382 / -515 + -758
874 -159 / -996 - -185 - -252 +,874 * -159 - -996 - -185 + -252
892 -861 * -726 854 * -542 / /,892 - -861 - -726 - 854 / -542
417 -462 813 / 909 / -784 * +,417 + -462 / 813 / 909 * -784
-971 -74 796 / + 625 -687 / +,-738 + -74 / -393 + 625 / -687
-149 226 + -683 - 567 777 * +,-310 + 1 - -683 + 567 * 777
90 172 - -791 - -180 -296 / -,598 - 172 - -791 - 410 / -296
-950 -174 / -734 * 602 -625 / *,-950 / -174 * -734 - 602 / -625
386 -711 / -948 - 519 - -889 *,386 + -711 / -948 - 519 - -889
244 -909 / -394 / -671 + -662 -,806 / -909 - -394 + -671 - -662
-609 -489 - 308 -54 + 327 * +,-609 - -489 - 461 / -54 * 327
82 -843 * 466 679 / -385 * -,82 - -843 - 466 / 679 * -385
390 600 -743 / -357 / -275 * -,390 - -698 * -481 / -357 * -275
-488 895 624 / 691 * * -963 -,-488 + 895 / 624 / 691 - -963
914 -947 245 + + -103 - -925 *,914 + -947 / 245 - -899 - -925
344 -955 -139 / + -616 824 / -,344 + -955 / -91 - 549 / 824
-958 -312 94 / 828 / -653 / -,925 - -488 / 745 / 828 / -864
-147 -932 * -449 + -330 -785 * -,-147 * -704 + -449 - -330 * -785
636 -717 + -39 720 / - 659 -,636 + -717 - -955 / 720 - 659
251 -338 / 4 -193 * - 946 -,251 / -338 - 4 * -193 - 946
16 957 -44 * 259 / -91 / +,16 + 957 * -44 / -485 / 949
-740 -181 * -475 - 326 / -241 +,-740 * -181 * -167 / 326 + -241
868 96 -123 * 436 / -892 / +,868 + 801 * -123 / -550 - -892
572 -203 -626 * + -938 147 * -,572 + 827 * 303 - 895 * 147
975 766 242 - - 372 877 / +,-64 - 766 + 844 + 372 / 877
113 -54 -202 / 253 * -550 / +,113 + -54 / 850 * 409 / -550
-136 382 * 570 + 677 / -93 -,-136 + 382 + -568 + 677 - -93
-40 90 + 906 -51 / - 194 -,-862 + 90 - 906 / -51 - 194
593 496 + 727 234 * - 326 -,593 + 496 - 727 * 234 - -733
-612 212 + -91 688 * + -915 -,-391 + 706 + -91 / 27 - -193
553 -185 177 / 824 * 187 * -,553 - 151 / 177 * 824 - 187
-31 -624 - -425 - -392 + 710 +,-31 + -624 - -667 + -392 + 710
426 654 + -761 344 / 258 * -,426 + 516 - -761 / 344 * 258
473 -839 -884 * - 829 - 768 +,473 - -839 * -884 - 829 + 120
877 -396 * 372 - -163 6 / +,-153 - -396 - 869 + -483 / 6
-811 -356 -735 * -237 / - -554 +,-811 - -356 * -735 / -237 + -554
435 -659 + 122 147 / - -819 -,435 + -659 - 122 / -460 + -819
-375 232 - -830 - -892 + 441 -,-515 - 232 - -885 + -692 - 441
806 351 - -886 * 48 + 96 -,806 - 193 - -737 / 48 - 96
318 -220 + -206 -103 * -97 / +,781 + -220 + -206 * 773 / 716
80 -986 * 193 + 965 -321 / -,80 * -986 / 193 - -422 / -321
500 -432 -664 * 341 / 910 + -,500 / -432 * -664 / 341 * 910
-843 888 * -697 / 918 + -518 -,-843 * 888 * -670 + 918 + 359
958 351 * -412 / -444 -320 / /,958 * 351 / -412 * -444 / -320
-766 -260 - 162 / 428 / 788 +,-766 / -920 / 162 / 610 + -847
305 -449 / -869 + 21 132 / -,305 - -449 + -652 - 849 / 132
661 -893 * -54 / -40 / -323 -,661 / -893 / -54 / -40 - -323
327 -226 + -833 - 597 - -194 -,327 + -226 - 609 - 358 + -194
-350 817 / -19 / -638 * 879 /,-350 / 817 / 711 - -638 / 879
364 274 * -987 * 479 * -633 +,364 * 274 / -987 * 479 + -763
727 -542 + 209 + -209 - 3 +,727 + -542 / 209 - -209 + 3
491 116 + -763 -356 * -28 / +,491 / 116 * -763 * -356 * -28
803 623 / 257 + 221 - -430 +,76 / 623 + 257 - 221 + -430
-108 -611 * 440 / 379 - 239 +,738 * 327 / 624 * 379 + 239
-175 -434 -123 * + -625 381 / -,-175 + -434 * -123 - -625 / 381
-580 -663 / -272 * 771 - -485 +,-580 / 617 * -272 - 771 * -485
-643 338 / -826 - -161 - -956 +,-643 / -993 - -826 - 892 + -956
-888 874 + -560 - 824 * -855 +,288 + 874 - 98 - 824 + -855
871 -964 - -456 + 755 + -496 -,871 - -10 + -456 + 738 - 723
-793 540 + 529 * -316 * 435 -,-793 / 540 * 529 / 642 - 490
-587 312 - -134 909 * -491 / *,-587 - 312 + -9 * 909 / -900
-361 -323 / 824 / -101 - -819 +,-361 / -323 / 824 + -475 + 118
980 571 - -844 - -713 535 * -,980 * 571 - -844 - 481 * 414
-455 876 * 714 * -271 * 357 +,-455 / 876 * -340 * -271 + 357
-910 481 * -795 * -235 / -952 +,324 - -648 * -795 / -235 + -952
577 820 -997 * 317 / + -388 -,-620 + 820 / -997 / 317 - -388
