Formula,Result
-++-+401583-741*-722576-+-+-100-286*/771-544-296-525*801571*-764383,401+583-731+-722*576+(-100+-286-771/-544*-296+-525-801*571)-46*383
-++--907-*//-197-716-144-120-381544-312+/-836-893-534**-380-753+979-220,-907-(-197/-716/-441*-120--381)+544+-312-(836--893--534+(-380/-753*(979+-220)))
-961---722/514788*/+362-195840977/-927-/973721**--843548-234281,961-(-124-514/788-(362+-195)/840*977--927/(973/615-(-843-548)*-234*281))
+--+253/*-60271910*--834-524137*/514-618-918-++341311*-97983-834,253+-60*-301/910-(-834--524)*137-514/309*-918+(341+311+-97*983--834)
+-+-/-578974*414490574-446//*--428633-708/*//-972174-318-294954744,-578/974-287*490+574--446+(-428-633)*-708/(-972/174/-318*-294/954)/744
++-674*438/*-476225-696884/334+--+/-813-422875-29*-65-433/407-984,674-438*(-476*225/-696)+884+334/(-813/-422+875--29--65*-433+(407/-728))
+++973-713/-884-165*-973//329988---512-930-+-474223/764-/-114-842567,973+-92+-884/-165+-973*(329/988/(-512--930-(-474+223-764/(-114/-842-567))))
++++--563-217258**/-893165813354-915*517-++*-344/-403709-94123386,-563--217+258+-893/165/813*354+-915+517*(-344*(-130/709)+-941+233-86)
-+++553/-798-852691//85-17571///*-698--264-463-*482-613199932381,553+-798/-852+691+85/-175/71-948*(-264--463)/(482*-613-199)/932/381
-+*/-++-365855233-19223-999*/359-439724*830--966/*/165514-49536,(-365+855-233--19)/223*311+359/-439*724-830*(-966-165/514*-495/36)
--+-948547*253-89*632990/*-159-674-*-260943***734341-423-127229,948-547+253*-89-632*990--159*-674/(-260*943-(734*341/433*(127-229)))
-/138464----+347/635-12640685/689-117*/76047//*251-604560-829,138/464-(347+635/-12-640-685-689/-117-760/47*(251*735/560/(-829)))
+-+--795/588975*-258667/47-587/193-**/-226312-37238/*57573-775,-795-588/975+-258*667-47/-587+193/(-226/312*-37*238-575/73/-775)
-+-----++541*427902-911396-739+-861-821111/-726-393-157409-844-748,541+427*902+-911-396--739-(-861+-821)-111-726*-393/(157-409)+-844--748
