Formula,Result
-93-88*-6340*11*+,-93*-88+-63*27*57
653+82--88-80++,6*53-82+(-88-(-80))
-92-8*-73*-86/-8/,-92*-8*82/-86/-8
-88603864*62+--,14-(60-(38*64+62))
-46-13-259/-38-+,-46--13+(-29/9--38)
09*36*86*39+,0*9*36*95+49
-2360+-96-15*-62-,(-23*60--96*-15-62)
-6393+-9920/+-25-,-63+93+-99/20--25
-80-97-67+-1-88+,-80-10+67--1+(88)
590-13+994---,(59-(0*-13-(-67-4)))
46-77/22/2189/+,0/-77/22+21/89
-16-57/-85/96-43-,-16/-57/-85-96-(43)
-71-89-89*+87-97*-,-71+-89*-89-87*-97
-62-10+3643/41*-,(-62+-10)-36/43*-87
70-40/21*34*-17+,70/-40*21*34*(-17)
-892348-1*77**+,-89+23*(48*-1*77)
-2387*68-688*-/,75*87/(68-(-68*-20))
-57-17*-34-13-61/*/,-57*-17/(-34*(-13/-61))
9190*-68*75/-67*,40*90*-68/55*-67
815-1082-40+--*,81*(5-(-10-(82+-40)))
1-77--1-16*63/+,1--77+-1*-16*63
-724/38*-64-58-+,-7/24*38+41*-58
-3499/45--4+9-,-34/99-45+-4-9
22-32/-17/2665/-,22/-32/-17-(26/65)
-613471*--60-16+,-61-34*71--60+(16)
2721-81/-784*-,(27-21/-81)-(7*84)
0-38*-704289//*,0*-38--70/(42/89)
-57-55/90*-36/6+,-57/-45*-82/-36+6
-82-84*14-72-61**/,-82*4+14*(-72*-75)
-948-94*-9992/++,-9+(41*-27+-99/92)
91-59-12097++/-,(91-(75/(-1+20*97)))
474239/+92+-17+,-47+42/39+92+-17
6247/21/-7-95/+,(62/47/21)+-7/-95
-3224+68--9832-+,-32+24-68+(30-32)
1811/2986*+-44+,18/11+-50*86+-44
-3393-51-38-71*--,60-(93--51+38*-71)
66-9-5527-44+*-,66--9-55*(27+-44)
-3565--91/87-82/-,-35/65/-91-87/(-82)
-905*33--6819--,8*5-33-(-68-19)
7465*69-25*59//,74*65/(33*-25/59)
-6869-22-13*23*-,-72-69-22*99*23
-63-44-8-2/--91+,(-63-88)-8/-2+-75
4774/-60+3155/+,47/74+-60+31*55
-8822+-33+73+-59-,(-88+22)+65+73-38
847977-7686***,(84*(79-77-76*86))
-14-61/3694-3+*-,-14/-61-36/(94+(-3))
-12-35/-87-59-37*+,(-12/-35)--87--84/-37
-17-47/7083-3-*+,-30/-47+70*(83--3)
-1006164/+81-85+-,-58+61/64-(-98+-85)
3293*37--78-39+,32*93-37--51+39
-561625/-91*-11-,(-56/(16/83)*91--11)
7220-45--6+13-,72-20-45--6-13
-65-34/-93/6726-*,-65/-34/-93*(67-26)
-1856+60-7/94/+,-18+56+60/-7/-18
-1968/67-36-32-/+,-19/68+70/(-36--32)
-1562*86/26*-10-,31*62/86*26-(-10)
-122052/45*93+-,-12-20/27*45/93
-5867-64+72-5*+/,-58/(67+-64+72*-5)
-99765-27-62*+++,(-99+(76+(58+-27*(60))))
-46-7*58/34/-69-,-46*-7/58/34--69
-352937/6/--98+,-35-29/37/6+-22
-36-67/-30*9938+/,-36/-67*-30/(-42+-31)
-6324/-60*84+80+,-63*24*24+84+80
-10-37-40+11+35-/,-10/(-37/-40+11-35)
1853/-99*-99*-83-,18/53*-99+46--83
-79-49/-27/-3--41-,-79/-49/-27--3--41
3081+-1-19-69--*,30+81-(-1+(-19--69))
88-17-76/35+67+/,88/(-17/-76+-91+67)
65-64-100/-69/-1-,65--64/-100/-69-1
56-6725+-6135*/-,56-(-67+25)/(-26*21)
-99-7-32+25-73**-,-99-(-7+-32-(25*-73))
-18-87-2151*-23/+/,(-18/(-87+(-21*-41--12)))
-575865*/-33/-6/,-57/(58*65)/-33/-6
-99-21*68-88-*-81*,-99*-21*(92--88)+-81
30852*75-31+--,30-(8*52-(75+(-78)))
-18-11/96/-90*-92/,-18/-11/96*-90/41
6136-4-50*-7/-/,61-(36-39*-93/(-7))
-89-98-42/21/-29/-,-89--98/39/21/-29
-533752/--81-70*+,-53-37/39+-30*-70
-67-70--9315*-33/+,-67--70+-93*15/-33
7090+-66+70-43/+,70+90+-66-70/-43
605/-25-90/10/-,60/5-(-76--90+10)
7956/-22*47*15/,79/56*18*47/15
441073/+-89-57+-,44+10/73-(-89+-57)
-734112*73/--47-,-73-41*37/73--47
18-84/-54/98+17-,18/-84/-54+98--89
-99-56--58+84+15+,-99--56+-58+-6+15
2225*88/44/-42-,22*25/88*44--42
99-9195/46*59*-,99--91/95*46*59
-2958/-95/35/43/,-67/58/-42/35/43
-4-39-81*-56-68-*+,-4+-39*-81*(-56--68)
282424-39-94*-//,28/(24-(24--39*-94))
-25-66/44/-24*58-,-25/-66/44*-24-58
1184/-69--18-96+,11/84/-69--18+(79)
52-65*51/83--91-,52*-65/-53-83--91
-5998--69+34-33/-,(-59--67+-69-17/-33)
-9188-87*+754/-,(-91+88*-87-75*4)
-55-97/-9651/-31-,-55/-97--96/51-31
795046/25*63*+,79/(50/46*25*63)
-91256011*-+56+,(-91+(25--97*11)+56)
