Formula,Result
-18.198.09-38.01+-^2^1,-38.01+98.09**2+-18.1**1
21.67-39.2884.43-51.38-5.19-^*+,-5.19+-51.38+84.43*-39.28+21.67
-9.2720.1835.59^29.65++*^,29.65+2.43+35.59*20.18/-9.27
-10.43-^257.13+-80.01+-,-10.43**2-(57.13+(26.05--80.01))
20.0821.7+^2+^114.37,21.7**2-20.08**1+(14.37)
99.992.39-90.57-^69.21+^1,-90.57**2-92.39+99.9**1
36.67-39.8119.88+/+^1+,8.43/19.88**1+-39.81+36.67
36.97-/-0.0196.51+-84.48-30.04/,36.97-(96.51+-0.01)/(-30.04*-84.48)
*-79.3318.3156.014.61/+-/,14.61/56.0+18.31--79.33/-25.05
--77.12-30.7955.8257.72-+^-,57.72-55.82+-30.79+-77.12--85.74
-91.4496.18-42.14**++^1,-71.27*-42.14+96.18+-91.44**1
88.05-64.68-58.69^68.69/++*,68.69/-43.55+-58.69+-64.68*88.05
46.8/-63.73-41.34++-^1,46.8/(-88.81+-41.34**1--63.73)
-16.85-43.0132.42*^/*/-66.62,-88.39*32.42/-43.01*-16.85/(-66.62)
-27.323.5954.04+^1++65.42,54.04**1+3.59/-27.32+(65.42)
85.63-45.92-88.12/+^+33.36-7.33,-88.12/-45.92+85.63**2+(-7.33)
79.45-24.1^-^1-^-31.05,-89.03**1--24.1**1-79.45
27.7949.37-86.96-32.3846.39-+/*,46.39--32.38+-86.96/49.37-27.79
71.28-41.97-^1/-1.2339.31/,-41.97**1-71.28*(39.31/-1.23)
-21.35-28.41-97.58---^81.12/,98.58--97.58**1--28.41/-21.35
-3.9654.55^^-35.05-/*+,-35.05--19.54/-85.86*54.55/-3.96
56.21-26.2822.6844.75-63.34+/*/,-63.34+44.75/22.68*-26.28/56.21
-19.1943.0285.33-98.39*+*2/,-98.39*85.33**2+43.02/-19.19
55.84-67.43-+--15.61+^2,(-67.43-55.84+(-15.61**2+-78.41))
15.71/6.89-94.4280.1768.94/-/,(68.94/80.17--94.42*6.89)/15.71
-86.15-82.12*39.9356.8-*/*,56.8-39.93*-11.19/-82.12*-86.15
57.8578.63.58-3.98^/^^2,-3.98/3.58/78.6/57.85**2
89.0375.14**--86.1312.15-+,75.14*89.03*(12.15--86.13+-73.55)
20.7252.72/--5.77/-99.77^2,52.72/20.72-(-5.77/(-99.77**2))
1.23^-8.75-32.41+-^1-,-32.41+-8.75**1--88.84/1.23
--56.1224.75+^1-^2,24.75**1+-56.12**2--36.06
-66.5630.07-34.02-^87.63/^29.08,-34.02**2-30.07/-66.56**2
-22.21^/-24.5-56.286.16+/*,(6.16+-56.28/-24.5)/-36.59--22.21
-10.01-27.46-46.74**+^2^,-46.74+-27.46*-10.01**2+(-64.91)
/--73.1992.94+^235.35,18.22-(92.94**2+73.19)-(35.35)
*14.85+^71.22+-95.2718.63+,14.85**1+72.52+(18.63+-95.27)
/-82.18-51.09+^1/^1,-51.09**1+-82.18/18.56**1
37.19^97.953.79+/-14.5-82.22*,37.19*(3.79+97.95-(-82.22*-14.5))
30.6320.06-64.61-/*/-/,95.16*-91.06/-64.61*20.06/30.63
-47.4360.9653.7739.09-^2/-,39.09**2-53.77/60.96--47.43
^-98.92+-8.5994.54-^2,(-98.92-(94.54**2-8.59)+94.71)
-32.59-87.12//95.88-96.81-78.12-+,-87.12/-32.59/(-78.12+-96.81+95.88)
16.9*73.05*+--10.1689.56/,73.05*97.78-16.9-(89.56/-10.16)
-49.2*67.624.97*--^2,4.97-67.62-46.7--49.2**2
55.8285.2250.41+/**^1,50.41+85.22/55.82*(-68.47**1)
79.0934.9318.1-56.4+^2*-,(-56.4**2+18.1*34.93-79.09)
75.7762.0357.8-82.63-20.63**+-,-20.63*-82.63*57.8-62.03-75.77
-94.65-36.58-*-^1^2,(-1.18*-36.58**1--94.65**2)
-83.68-71.66-2.71+-50.5-75.53+/*,(-75.53+-50.5)+-2.71/-71.66*-83.68
