Formula,Result
++-714*441-195/802692,-714+441*758+802/692
-/*242499-189*-773922,242*499/-189--773*922
+++*33599432356-776,335*-308+432+356+-776
-*495*/-863179203678,495--863/179*203-678
+-/--162-341-379331740,-162--341--379-331+740
//419*/76-46-804-822,419+76/-46*-804+-822
-+*-193151/-178-818588,-193*151+-178/626-588
+---811*778913-491-205,-811-778*913--491+-205
+--349-485-311/-237-29,349--485--789+-237/-29
--/426882/889-752-884,426-882-889/-752--884
+/-*-841-794-223-997955,-841*-794*-223/-997+955
-+--563613-137*-376345,-563-613+-315--376*345
+++/318-309622-581668,-685/-309+622+-581+668
--/-952-674/-961910641,-952/-674--961/910--66
--*760799*74-12980,760*799-74/-12-980
+/-60-16*/188-175-396,927/-16+188/-175*-396
+-+166279/928-940501,766+279-362/-940+501
-543*//-728298-329-374,543--728/-222/-329*-374
-++/-95131302-458-318,-951/-974-112+-458--318
+-+*471457-728328-593,436*457+-728-328+-593
+++-729-999808*-354-407,-729*-999+808+-354*890
--+-260/-397-755456-505,-260+-397/-755-456--505
-*+-715-462-332751-439,715--462+-332--590--439
+*778-574/--440-648-336,554*-574+-440/-648/-336
++-624/-250401/-977396,-624+-250/401+-420*396
-+/*-370-573-713-762-739,-404*-573/956+-762--739
+-68220//192970151,68-220+631*970/151
-++27241696/639455,272+41+604-639/455
+-64*888206*184979,64-888*206+396*979
+--954*/403-678-681924,594-403/-678*-681+924
-*108*-75640*145-747,108+-756*40-145*-747
-+*-354557*524-446385,-476*557+524*-446--660
-++7565392/319-482,756+53+92-319/-482
+-751--736-379/-882-47,751--736/-880+-882/-47
---/67116850-969-512,671/168/50--954--512
-//+-674527850-738-87,-674*96/850/-738--87
-+/897343-776*-280-664,897/324+-776--280*-664
+-213-77//-193-10-381,213/-77+-193/-10/-381
++-533-248-507*-157179,533--248+-507+-157*666
--/83-35*-810859773,83/-35-883*859-773
/*//-267-796967-912-76,-267/-796/967*-912--76
+-++91-152904-838703,91+-152+904--838+703
--+38046-212/687684,380+-844--212-687/684
+/--848-618*-387-476596,-848--618--387*-476-596
-*/806*-22622112-612,806--226*221+12--612
-/779-373/+-563890-123,779/-373-289*890/-123
+++*197-798-388-916315,197*54+-388+91+315
-+-/-901401-577-639199,-901/398--577+-639-199
-+/7951-953/-917142,79/399+-953--917/142
+-539-*/699-331-176-539,-539+699/-331*-176*-539
----472646-677-555211,472--309--677--555+211
+-737//-654-883-131-876,737--654/-883/-131+-876
-*/805993-81*-952-233,805/993*-81--952*-434
+-/-853116*-579723109,-853/116--579*723+880
-+--973118-84705-65,973-118--84+705--65
-//*-749610228-277971,816*610/228/-277/971
++378*54222*5908,378+542*22-5*337
++-50-366587/957-452,50--366+587+957/-452
+/--957238-783*-921985,-957-238--783+-921*-781
-//*399670-708169-626,529*-142/-708/169--626
--+*-151-78925319125,-151*-789+-867-191-978
---342132/-893-992-505,342--826--893/-992-332
-+--635-713/581413803,-635--111-581/413-803
+--+730-430980531-278,730+-430-980-531+-278
+/*-605-314-525*727-332,-605*-314/-525+727/-332
---104//609779341-284,881-609/779*341--284
-/*-38648-813/-540714,-38*648/-813--979/714
+-972/*-879-142-201-440,972+-879*-142/-201+-440
-+-+798213-710-849-417,798+213-894+-849--417
-++-112-401/-546-95631,-112+-401+-546/-95-631
--//850323532501628,850/323/532--666-628
--//-708910-938-221-33,-708/910/-938--813--33
+*-*-638-742100205529,-638*-742/100*205+529
+--997289//-76155-604,-997--965+-76/155/-604
++++-202591565893-594,-202+591+565+893--594
-/-709/-503-734/168-230,-709+-503/-734-168/-230
-+*503-155231/864202,503*-155+231-864/273
-//-778419-147/-632680,-778/419/-147--879/-149
+-+52/-577479-783432,52+-871/479--250+432
+-*153-591181*234493,153+-591+181+66*493
---921/-544-397333248,921-918/-397-333-248
+-+418-540/-315542-685,418+-540-81/542--685
+-863*+*-260602946-863,-863+-260*602/946*427
--497*+/-35104803483,-497--35/241*803*483
-++622-757/1-244859,622+-757+453/-59-859
++-892*-35367+19137,-892+-35*977+19*137
--*675738-809/547-489,-336*738--809-547/-489
-/+-919-539213*851837,9+-539-213-851*837
-+-296-524//161785449,-440+-524-161/-164/449
-/794370//447422681,794/-801-447/-598/681
+-+-71-155*689-589-840,-71--155-689*-78+-840
