Formula,Result
428/622^+85+7041/721^-72+40*-4-812*+82+,++-/++/47^62285*+-/7041^72172404*86258
61571^-88-2725/53*34/+6296144*-831^-87-*-,-+--61^53188/*/27255334*62---96*864/83187
586/85851^-1450*+831054542^/+83-53-1-*+*,*/586++*85^851*7750*83---+10/54^54283531
9153172^*-633933672^/4291/45*7*+5163^+*/-,--91*53^172/63*39++/33*672**/4291457/5163
7482+3750/62*+571^-50-91+84-3677/2^+1561*+,++-+--++7412*/375062^571509158^/36772*157
867*8587/891^*+701^/2975/512^*-172^+49+,++--+*867*/6587^891^701*/2975^512^17249
4761-7275541^+65+1^*38-741^-271^+8241*-+,+^3961-++-*72^++75^54165138*741^271*7141
7778*42+25581^/93581^*522^+5146*+3643*---,-+*777842-/25^581-++*93^581^522*5146*8560
36742^77+12-945737722^-53+94-948/+57---+*,+36+-+^7127712-94-57-+-+-37^7225394/744857
57541^/491^+431^94401^/+525/^47^44-34-+,++/57^541^491-++/^^431/94^401/525474434
60392^*45+69+95+1197*+5358*+295951*-89/+42+,++++++++60^392456995*797*5358/-29*59518942
71372^-26-31-5562*+2346/121^-29-711^+94--,-+---71^3722631/5562-+--/6246^12129^71194
4269581*/+3792*-10532^*-58+2041*25631^/*+,-+--+42/69^581*3792*10^536358**2041/25^631
7285-7178*+54-275932/41652^/49+22+28+46/-/-,--+-7285*712454/27-/5932/+++/41^65249222855
30932^/1655750/68/842^942^+16-7834*+*-/+,+/30^932/1-65*//575068+-++842^94216*7834
471^64*232^223676*651249-+15802^+-+/+/+,+^471/*64+^232/22+*3625-+65^1254+15^582
2424/68*78*94/84*621^86427*7272/59+84-/-++,+*/**/24756878284+^621-8/*6427-+/72725984
501^58-923351*18/28+773/36+812^+43-34++--,--^50158-14++--33511828+-/+/77336^8124391
3253/15-751^+84+2588/90-951^-13-77+133*--,-+--/325315^75184-+---/25884^9511377*133
683/69/20/25961^/11+18-8250/99/51+321^+-/,////6836920--+/25^9611118+///82509951^321
5751/44*60/47-54+611*45/99/+4286*+73-85-6-,+--+++-/*/575146604754//*6114599*18773856
854*802^/8426*34-33+1695*+/+194/-9292/-,--+/*854^802/*8426++-36833*1695/254/9294
851^294445641^/85+3219+33*-/+1857*68*+*-,-8+^481++29/44-+/45^64185*+321933**185768
68941^-67-941^-131^6098/-1^+88-6060*14*+,+-+---68^94167^941^-/131/6061188**606014
231^4+61+74+90+7244*+25-26+63/57-826980/^-,--/+-+++++^2314617490*724488266357-82/6980
4963+3672+8248/-2864*851^791/+79*+8977/+--,-+4963--+3672/8248++*3864^+^851/79179/8977
231^9540+169^+14+2367/-+3975+82+77-381^/-,-+^231-+++9540-16114/5067/+++39758277^381
3462/42*54592-+7193/56*64/-29/-52+29-27+73-,-+-+-*/84649/-+54^592/*/719356642952292773
532^40790/*98/-39+8268*86/318+2690*76*-/+,++-^532/*40/7909839//*826886-+318+*269076
544+982^-7448/56/15*-31+62512//+832^+10+,++++--+544^982+^+7448561531/62^512^83210
9165+65+73+43-301^-32152^/-49+5835/-8257++,+-+-+-+++6465657343^221*32^15249/5876+8257
9542*561^+28-25802^*+69-329/+341^121^+-,-+-*-+*9542^56128*2^80269/329+^341^121
48451/192^*-6327*-89+2622^671^/-472464/*-,--+--48*/451^192*632789//2622^6752*47/2464
1725/362^+55+3492/161^*-96-531^54+522^/-,---++/1786^36255*/6792^16196/+^53154^522
131228*+3+505238-1*-90-92-59-24581^+35-*-,-++13*122826*----93^-52381909259-+24^58135
9712+181789+85+/35*-144^+6797*20*+3+71^+,++++-+9736*/79++17898535*144**6797203^71
372^546*+73*94-2338*-1651-73+692/1212/-++,^--++^372*5267394*2338++-165173-/692/1212
5858-4064/-5+741+-21-7754*57/96*-5+42+27+,+++---+--5858/40645^5121*/*7772579654227
5243/6138142^41-819051+38580/54*97+*+--**-,-/5243*61*38-/^14284-81++9051*3/*+85645447
7529/20222^*+71^-4368/1/-71-1360/27/94-+,+---+*7529*20^222^793//43685671-//13602794
6323*78661^^-9863*+28-98+13+9726+41+43*-70-,--++-+-*6364/78^661*9863289813*+*9726414333
8718/11^9198/3876^*63972^/-512^+69-21--96+,+--/871811--+-*/9198^381/63^972^512692196
31958*+292^-949/64-+831^+7840*-85+1393*+,++-++-+31/958^2984-/94964^831*784025*1393
9452^+651^+4+8792*+959/46+2^-172^-90-,---++++9^459^6514*8792^+/959462^17290
202^794864-662^+81+2962181^*-7647*^50+-^-,-^202/79-++-6964^66281++-29*62^181*764750
782^22+731^481^-32^+63+982^*-43672^*+,+-+^78271*++-^731^481^3263^982*43^672
192792*5921/8*2^*+91+299156*13-225*99/-/-,-++19/*2752^*/59218291/29--*915652/*22599
7425+21^-167*49*+7270/771^*+235865/-36++,+++-+5925^296**16749*/7270^771+-23/586535
421^793*11/30/32/+7190-4+11621^*4312/+-+,++^811/-/*793113032-+-71904+*11^311/4312
21363040+86/-2091/67/882^5656*18++2555/-*--,-21--36//304086*//20867-+^882+*85618/2555
189069931^/+642^131^4089^-65*-642^+-*+,+18+8-+90/69^931+-^642--^131^80265^642
8550/67/63*80-5256*16*-2599*514/2^+79-32-+,+--*//855046380**525616--+*2599^/51423432
41701^*332^506541^/+165*9+6286*3/-+-+,+*41^701-^332++50/6^541--*1659^*62863
365285/64*4332*42/*-861^22-53-1737/44*+46++,+-36**/522164/*433255++--^8612253*/17374446
912^10-21-1^51-9+41252^/+48-721^2719*++,+-*+-^--^91210211519/41^25248+^721/2719
7555*-177+9288/81-84+962^211782/21+*--/-,--7*5585//177-+--92888184-^962-21+/178221
643925-/982^*5761^*+666/3/48*672^/88--,-+*/90-3925^822*5^761-/*//666348^67288
6037/176/86/+12+2982*-5596*23/+788421/1*/-,/+*++/6037//1768612*2982/*559623/78*/84211
867242^63+3970*98381^-37+6373/821^-69--*+^,/86+*^72163**3970-/-98^38137--/6373^82169
4056*7759+37-1431*+39**6741/9916*6327/30++*+,+-*4056*+-+775937*603139*/6741+*9916+/632730
612^84-1963/34/+4217/23*2971+/-52165074/+*-,--+-^61284//196334/*-421723+8471*52+16/5074
171^7160/29/+39-60-971^-992^+53+1046*91--,-++-^-+^171/-7160293960^971^99253-*74691
961^9113/971^/+43+86-67851^/+711871+60+*+,++-+-^961//9113^9714386/67^8522*71++187160
31262^-81+9642*60*23*50/+998363*/348/+/+,+++-31^26281/***9642602350/9+-9*8363/348
6066-34423675/+53*4953*52*+30/1063/52*63-/--,//6066-34//+++42/367553**49535230--/15635263
8581/90*761^-5028/+40-26-3918*+4166*-4625/-,--+--+-*/858190^631/50124026*3918*4166/4625
60795142/92*65*+30+36+44+662^+211^+46+14/*,/60-+++++++79**/51429265303644^922^514614
62536*2362/41+81-3968/+402^+82833710/+/+-/,/62-*536+++-+/23624181/2268^402/82+83/3710
40415/+421^+1252*+9383*78*63/+1^3076*-41-,---++++40/415^421*1252/**938378631^307641
1752-37/21611^/-28892^945854/60*23-74+/+^-,--/*175237/21^611/28+^892/86+-*/5854602374
915822/*55+67+50+1041*-11-851^-2099/39*67**,+---+++*91/5867556750*104111^851**/20993967
7775^84-25+62511^+55+4216/24*-2915*-35+92-+,++-^7718425-+--++62^51155*/851624*96153592
4362/4857*14/-8946*-260/54/+3311^/-73+99+,++-+--/4362/*485714*8946//26054/3^311199
242^30561^/33+1^+23*65-5586/40/11^*+59-,-+--+^242^+/81^5613312365*//558640^1159
2727/6290/+4064*78/-609291/33*5332241^/*-/+,+-+-2727/6290/*406478/60-*/929133*53/32^241
3521/28*771^*1784/+742^+86-38+42^-89-36-,--^+-++**/352128^771/1784^7424938^428936
1771-372^/95/7965/+42-881^+26+82+33+962^-,*++++-+-/-1771^37247/796542^881268233^962
341^7260*+7628+8*+249+78+-8791/411^41+-+,+-+*^341*7260*+76288++24978-/8791+*41141
71038*911^-621^+8817/79*^1948/89*+36+27/-,-7/++++-*1038+911^631*/881779*/1948893627
8959*32*5*531^/982^+9792*48/74-77+4753*-+,++/-**89593277^531^982-+-**9792487477*4753
708358/312^-852^+591^-4968+78^871^*+42--,-70-+-+-/8358^312^762^591*/+496878^87142
906/2^2186/82/+50+13+42-83341^/+702^-35+,+-+-+++^/9062//218682501342/83^3449^70290
112^151^-11-82-4432892^/97+/+351^^552/-,-++---^112^1511182/44+/32^89297/351/452
1441*94+62-301^6864*+60*98/281^93+/+7652*+,++-+*14419483//*+^301*68646098+^28193*7652
56991^/941^-37542^/-5+392996/62^-40+/-,-+--^56^991^941/37^5425/39+-/2996^50240
1590/7196*336491*-/73+3221/2^/+211^+8390+-,-++/1590/+/*7196-33*649173^/32212^211+8390
4911122^*-9456*+21+312*70/-832*4371-66+/+,+-++-49*11^122*945621/*31215/*832+-197166
23057/83/9/90281^/936*85/+/8/-4925*65++,+-2/////3057839+-51^281/*936858+*492565
90986*26*-1420*18/-732^-42751^/^9569/16/-,-+---90**983526/*142069^732/42^751//956981
102^592^+6719*-112/+93-6761/985695/+49-/^,+-+-+^102^592*6719/11293//6761-+19/569549
743615+*8982*+63112^-7-6-2678611^*65-*+-,-^*74+3615*8982+--/63^11276*26-^78^61165
271645/79/4/+66+27+61^-264011/32*9786++/-,--+++31///16457946627^610/26+*/401132+9786
2588*7/56741^559/-79-842^+11+/68+152^-/,//*25887-+/56++--^741/55979^8421168^152
995077**31^-272^33-28-8389/26*-15+961^-+,+--99*5077^33-+---^2721128*/83892615^961
9078*84*472^-48/1052^/-90+595479129-*-*-,-+---**9044^47248/10^5290*59-5*47-7829
