Formula,Result
-502679-473/-897-437--,-502-679/-473-(-286--437)
-48509-893544*792-/-,-48-509/(-893*544+(792))
656691-190+0497/+,-765-691+-771-(0/497)
-338-675844817*245-/-,-338-(-675/(981*817+245))
-447-56*-975/-120877*+,(-447*-56/-975+(-930*877))
-510-198-62--778-189*,(-510-269-62--778)*189
-486-193253/+581-942+,-486+-472/253-581+(942)
-220-9*-92+-236-525/+,962*-9--92+(-236/-525)
88424/711-548*-740-,88/424-711*-758--940
26-76779*+260-290-,(26+-767*79-260+290)
881-157+-7269-738-*+,881+-157+(-726*(9/-738))
-965-314+-69-999+429*,(-965+-314)--69+999+429
158-83-335-61-+-940-,158--83+335*938--940
874-713/-627920/+-616+,874/-713+-627/920+-616
9148/-586-149379+*+,914*8+(-586*(-149+379))
-82578-745/-727*-104--,-82-578/-745*-727/-104
138-43-42/-269-608*+,-583--43/-42+269*-608
146863617/793--363+/,(146/(863/617-793+-363))
417229/-379/-834*927+,417/379/528*-834/927
-925701*-607-77+-946-,-921*701-326+77--946
-873384-555/+694981/-,-873+384/-555-694/981
-197644+862/385-639/,(-197/644)/862-385+639
-628257--819--312+205-,(-628*257--819+-312-205)
679977*684308**456+,679*-583-684*308+456
228239-731+-307237+*/,228-(239+-731+-307*237)
986-329273-27+-279+*,841-(-329-273+27+-279)
-79970-391/-336*--292-,-799-70/-391*-336-(-292)
-797-644/632/471+41+,-797/-644/632+471+(41)
451-798-64395771/*+,451--798+643*(957-71)
554875*505-744/-930/+,554*875+505/-744/-930
-137-161+371-203-271/-,-137+-161-371--182/(-271)
-704767129694*-32--+,-251+(767-(129*87--32))
197392282449*+*186/,-988*(392+282*449)/186
-257159/-525*72209*+,-257/159*-525+72*209
978407/707/674-689+-,978/407/707-(674+-689)
291-744--593-417/-102*+,-195/-744+-593/-417*-102
-283-91-34243*-864/*,804--91+342*43/-864
-671-139/562+-865+-726-,-14/-139+562+-754--726
-206395/386475/894*+,(-206/395+386/263*894)
686-675914/-965-451/+*,686*(-675/-306+-965/(-451))
93-262579*45163*/+,93+676*579/(451*63)
-776-869--300919/+144+,-776--869+704/919+144
491775+-103693/328+-,491+775-(-103/693)*328
-24-723-216-32125--*,(283--723)*(216-(-32/125))
391370-515-768*+809-,(391-370+244*-768-809)
364-182-7+38--833++,364-(-182+-7-38+342)
829-48-662+79--455+,-315+-48+662-79+-455
-124-205900701-11*-+/,-124/(402+(900-701*-592))
751-702-335/98-6++*,751*(-702--335+(98+-6))
-754-863924*+-1-774*-,-754+-863*924--1*-774
339-665-524/+294-254*+,339+-665/-490+294*-254
-113-959979/-258/564*+,-113+(-959/222)/-258*(564)
183949-784-200/-201+,183-949-38/-234+(201)
-52-753*450+-236-450*+,-52*-383+450+-236*-450
-98288/126*521/-460/,366/88*-638/521/-460
543721-19/-86/+520+,543+721/-19/541+520
-422732-636-954804/-/-,-422-(732/(-636--954/804))
-497600-647598-670/-//,-497/(600/(-647-165/-670))
-10976-464/-687/225+/,-109/(76/57/-687+225)
646-866+345+-614+-586+,-230+-866+345+-614+(-586)
-34-288*-538273-265+/-,-34*-288-(-538-(239+-265))
-933-345/-145/-288/-357+,-933/-345/-145/251/-357
-639314/534-664/+-930+,-530/314+534*-664+-930
425546/-198/-781/711+,(425/546/-198)/-217+711
-504-183-778*-985820--/,-504/(-183+894-(-985-820))
-409475/-97/-822-998+,-409/475/-97--822+998
212-173*-803861/+-806+,212*-173+-803/861+-806
-399-116991*-96+-457-,-399--116*-962+96--457
828-191*-737767*+938/,828*-191+-737*767-938
-364-789*758+-582+-457+,-364*-789+758--582+-256
561-537*132+581255*-,561*-537+132-581*255
11-405-919/390*--183+,11--405/407*-225+-183
-380-399-382-270+616--,-380--399-(382/-270-616)
881-313*724+831--827-,881*-313+724-831--827
-235-668468++-213/474+,-235*(-668+468)/-213+438
-609-818238*-670//-130/,-609/(-851*238/-670)/(-130)
-156-27+395956/--786-,-156+-27-395/635-382
366469--620857++952-,366-469+-620/857-(952)
728-714+-633-978*-285-,728+-714--633*-978--389
712-193-841*892-++,712/(-193+(-8*41*892))
656-322*346495/-806-+,(-310+-322+(346/495--806))
659413178--570-854/--,659-(413-178--570/-854)
-527969*-411-628-/-994+,-527*969/(120--628)+-994
186-196*-230-390*-655-+,186--196+(559+-390--655)
-414650/27--925--153*,-414/650-27--925--185
-551-940635//137-69*+,-551/(-940/635)+-545/-69
-51-247--706+-448+-160-,908--247+-706+-448--160
