Formula,Result
92541*44+302680*94-61-17-/-*,92*(54**1+44-30/(26*80-94-61-17))
912^29+3061+22456401^/-*-+,91**2+63+(30+61+22*(4-56/40**1))
3165*42+44542^64*+2710^--+,31*65+42+(44-(54**2+6*4-27/10))
7066-836*4*-56+96-96-591/+,70-66-83*6*4+56-96-96+46/91
9737*825459/22-5978*+9877/+*+,97*37+(82*(54/59-22+59*78+98*77))
51871^7334*96*-87154*45^-+-,51-(87**1-73*34*96+(52-1*54/45))
4277*241774/-2^-70322--84--,42*82-(22-17/74)**2-(70-32**2-84)
321^3431/+612^-36+8994/+90-,32**1+34/31-61**2+36+89/94-90
2616/531^+9382*80*-14+22+55-,26/16+46**1-93*82*80+14+82-55
121+75222^8859*-132^+9-/+,(12+1+75/(22**2-88*65+13**2-9))
4134-1178/-88-96+5232^-84--,41-34-11/78-(8-8+96-52**2-79)
7625+922^+8515++3040*-322^-,76+25+92**2+85*15-30*40-32**2
551^9841+79-69-+1672*481^*+,55**1+(98+41-79-69)+78*72*(48**1)
893-77381^/131^+721^-48--,8-51-(77*38**1+13**1-72**1-48)
3285-3+10769667^-99-35-2^++,6-85+3+(10+(76-96**1-99-29)**2)
3895/2650*-12342^*+785/42*-,38/95-26*50+12*34**2-7/85*42
84282^/41*526/59*-3472/-69-,84/28**2+41-52/6*59-87/72-69
69131^34+3783/-62^+3871+-/,69/(13**1+34-(37/83)+6**2-(38+71))
9897-9850*96*38-402^*+79+11+,98-97+98/50*96*38*40**2+79+11
7566/2*9-1054-811^142^-*+,75/66*2-9+(10-54)*(81**1-14**2)
86202^*+4611272^+7812*-/-,8+6*20**2-46/(11+27**2-78*12)
12212^*17-5714-9271^*-79++,12*21**2-25+(57-14-30*27**1+79)
599171//96657966/+1^/^54-92+,49-91/71+96/(65+79/66)**1-54+92
5117*22/38/55*601^1058*-2^-,51*73/59/38*55-(60**1-10*58)**2
102^8797-431^/+747/50/-53+,10**2+(87-97)/43**1-74/7/50+33
722^4219861^/5052^+12-64+*+,72**2+42*(19/86**1+50**1-12+64)
8352^^8559*+24-5141*292^*+,(83*5**2+85*59)-24+(34*41*29**2)
2855*94/49*5711*872^/-18-55-,28*55/94+49-57*34/87**2-18-44
8561/882^2516/798/892^*+++,85/61+(88**2+(25/16-7/51*89**2))
4953+32-70131^*-17-481^-39-,49+53-32-13*13**1-17-48**1-39
