Formula,Result
+ + * -3 -61 -66 / -75 -91,-3 -61 * -39 + 9 -91 / +
- - + 81 1 / 24 -38 -82,81 1 + 24 60 / - -82 -
+ - -74 / 26 -4 / 83 16,-74 26 92 / - 83 16 / +
- * / / -93 -55 -73 -67 -51,-93 -55 / -47 / -67 * -51 -
- - + + 42 33 -36 15 46,42 33 / -36 + 15 - 32 -
+ * / 92 18 -17 / -35 -26,-52 18 / -17 * -35 -26 / +
+ - / 12 56 -35 + -68 -68,-54 56 / -35 - -68 -68 + /
- + - -2 63 / 42 -22 15,-2 63 + 42 -22 / + 15 -
/ / * * 84 -82 8 57 -98,47 -77 * 8 * 57 / 51 /
- - * 7 13 55 / 2 -41,7 13 * 55 + 2 28 / -
+ + - 7 44 / 70 14 3,6 44 - 39 14 / + 3 *
+ * -20 / -16 64 / -88 -25,-20 -16 -80 / - -88 -25 * +
+ - 33 + / -7 63 -68 97,33 39 63 / -68 * - 84 +
- * * 45 76 -79 / -87 -88,45 76 * -79 + 47 -88 * -
* - / / 23 -64 7 30 -32,23 76 / 7 + 30 - -32 -
- + / -61 -36 / -97 -82 34,-61 -36 / -97 -82 / + -80 -
- * + - 35 86 -71 -23 -30,-22 86 - -71 + -23 - -30 -
+ - - 0 62 * 52 -56 -26,0 62 - 52 -56 * - -26 +
+ + 37 * * -41 54 -65 -62,-70 -41 54 * -65 * + 82 +
- - + -93 * 99 -95 75 23,-93 19 -95 * + 75 + 23 -
- - 63 * / -61 25 86 11,23 -61 25 / 56 * - 11 -
- * * / -5 -10 -6 47 -4,-5 53 / -6 - -80 / 24 -
+ - * -72 42 -51 * 40 41,-72 -89 * -60 - 40 15 * +
+ + -51 -78 / / 35 -82 61,-16 -78 / 7 -11 / 61 / +
+ + + - 1 -67 58 -34 90,1 71 - 58 + -34 + 90 +
+ * * - -13 39 -87 -58 -54,-13 39 / -87 * -58 * 46 +
* - 8 / 89 23 * 78 88,8 -95 23 / - 78 -95 * +
+ * 99 -27 * * 39 -51 8,99 -27 * 49 -26 - 8 * +
+ - - / -33 -5 38 -53 -12,-33 91 - 38 - -53 - -12 +
- + + -77 * -70 56 -84 -26,-77 -1 -79 * + -84 + -26 +
- + / / -85 71 25 -8 -67,-85 71 / 25 / -8 / -67 -
+ - 45 -88 / * -75 -49 -84,16 -88 - -75 -49 * -51 / +
/ -11 / - * -71 -61 54 64,-11 35 -61 * 54 * 64 / +
+ + / / 83 -7 -60 58 73,83 59 / 21 / 58 + 73 +
- + * 87 -44 - 67 4 4,87 -75 - 67 4 / + -25 -
* * * / -76 50 -56 -90 91,-64 -68 / -56 * -90 * 91 *
+ * 26 82 / + -44 25 -54,26 1 * -44 25 / -54 / -
+ + + -29 / 31 35 7 -34,-29 31 35 / - 7 + -34 /
+ - / * 33 77 20 -98 -62,-26 17 * 20 / -98 - -62 +
- + 25 36 * / -65 -67 -47,25 36 + 9 -53 / -47 * -
- / * -96 31 -71 / -93 -43,-96 31 * -86 * -93 -43 - -
+ + - / 71 78 -43 -57 -93,-89 66 * -43 - -94 + -93 +
